Category-Group,SUBCATEGORIES
Security Analytics,Log Management
Cloud Security,Machine Learning (ML) Security
Application Security,Malware Protection and Prevention
MSSP & IT Services,Managed Detection and Response (MDR)
MSSP & IT Services,Managed Security Services
Network Security,Microsegmentation
Cloud Security,Mobile Application Security Testing
Cloud Security,Mobile Data Protection (MDP)
Application Security,Mobile Threat Defense
Cloud Security,Multicloud
Network Security,Network Access Control (NAC)
Network Security,Network Analysis and Visibility (NAV)
Security Analytics,Network Detection and Response (NDR)
Operations,Network Performance Monitoring (NPM)
Operations,Network Security Monitoring
Network Security,Network Segmentation
Identity Management,Network-Based Intrusion Detection Systems (NIDS)
IoT & OT Security,Operational Technology (OT) Security
Security Analytics,Orchestration
"Governance, Risk, and Compliance",Output Encoding
Endpoint Security,Password Management
Data Security,Pattern-Based Strategy
Data Security,Privacy
"Governance, Risk, and Compliance",Risk Management & Compliance (Non-core)
Cloud Security,Runtime Security
Security Analytics,SaaS Security Posture Management (SSPM)
Operations,SecOps
Network Security,Secure Access Service Edge (SASE)
Cloud Security,Secure Collaboration and Messaging
Operations,Secure Configuration Management
MSSP & IT Services,Secure Multiparty Computation (MPC)
Endpoint Security,Secure Remote Access
Data Security,Secure Web Gateway (SWG)
"Governance, Risk, and Compliance",Security Event Manager (SEM)
Identity Management,Security Information and Event Management (SIEM)
Security Analytics,Security Orchestration and Automated Response (SOAR)
Network Security,Security Service Edge (SSE)
Identity Management,Session Management
Cloud Security,Software Composition Analysis (SCA)
IoT & OT Security,Software Supply Chain Security
"Governance, Risk, and Compliance",Supply Chain Risk (Non-core : Risk management & compliance subcategory)
Operations,Third-Party Risk Management (TPRM)
Endpoint Security,Threat Detection and Response (TDR)
Endpoint Security,"Threat Detection, Investigation and Response (TDIR)"
Endpoint Security,Unified Threat Management (UTM)
MSSP & IT Services,Vendor Risk Management
Network Security,Virtual Private Networks (VPNs)
Endpoint Security,Vulnerability Assessment
Endpoint Security,Vulnerability Risk Management (VRM)
IoT & OT Security,Web Application and API Protection (WAAP)
Network Security,Wireless Security
Operations,Zero Trust Edge Solutions (ZTE)
Operations,Zero Trust Network Access (ZTNA)
Identity Management,Cloud Infrastructure Entitlements Management (CIEM)
Identity Management,Privileged Access Management (PAM)
Data Security,Data Integration
Data Security,Data Fabric Architecture
Endpoint Security,Cyber Asset Attack Surface Management (CAASM)
Application Security,Static Application Security Testing (SAST)
Application Security,Dynamic Application Security Testing (DAST)
Application Security,Software Composition Analysis (SCA)
